Order Date,Year,Month,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit
20-01-2014,2014,1,Xylona Preis,Michigan,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,273,3,30
20-01-2014,2014,1,Xylona Preis,Michigan,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19,5,9
20-01-2014,2014,1,Xylona Preis,Michigan,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",248,4,94
20-01-2014,2014,1,Xylona Preis,Michigan,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,67,2,16
20-01-2014,2014,1,Xylona Preis,Michigan,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,44,3,13
20-01-2014,2014,1,Xylona Preis,Michigan,Furniture,Furnishings,Ultra Door Push Plate,15,3,5
20-01-2014,2014,1,Xylona Preis,Michigan,Office Supplies,Binders,Storex Dura Pro Binders,30,5,13
20-01-2014,2014,1,Muhammed MacIntyre,Tennessee,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67,1,-52
21-01-2014,2014,1,Tom Boeckenhauer,Florida,Furniture,Furnishings,Ultra Door Pull Handle,25,3,4
23-01-2014,2014,1,Ionia McGrath,Nevada,Office Supplies,Paper,Xerox 195,40,6,19
23-01-2014,2014,1,Speros Goranitis,Indiana,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",6,3,0
26-01-2014,2014,1,Shirley Daniels,Virginia,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",63,3,31
26-01-2014,2014,1,Shirley Daniels,Virginia,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",490,8,0
26-01-2014,2014,1,Shirley Daniels,Virginia,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19,3,9
26-01-2014,2014,1,Shirley Daniels,Virginia,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",17,2,8
26-01-2014,2014,1,Shirley Daniels,Virginia,Technology,Phones,Macally Suction Cup Mount,155,13,0
26-01-2014,2014,1,Shirley Daniels,Virginia,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12,3,4
26-01-2014,2014,1,Shirley Daniels,Virginia,Technology,Phones,Jabra SPEAK 410,188,2,53
26-01-2014,2014,1,Carol Adams,South Dakota,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,11,2,5
26-01-2014,2014,1,Carol Adams,South Dakota,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",142,2,40
27-01-2014,2014,1,Ed Jacobs,California,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57,1,14
27-01-2014,2014,1,Ed Jacobs,California,Furniture,Tables,Balt Split Level Computer Training Table,333,3,-17
27-01-2014,2014,1,Ed Jacobs,California,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36,4,12
28-01-2014,2014,1,Jasper Cacioppo,New York,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4,1,1
30-01-2014,2014,1,Mike Vittorini,Michigan,Office Supplies,Paper,Xerox 1972,11,2,5
30-01-2014,2014,1,Mike Vittorini,Michigan,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,230,2,7
31-01-2014,2014,1,Liz Carlisle,California,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",291,2,3
01-02-2014,2014,2,Bradley Drucker,Wisconsin,Technology,Accessories,Enermax Aurora Lite Keyboard,469,6,206
02-02-2014,2014,2,Cynthia Delaney,California,Office Supplies,Fasteners,Staples,12,5,6
02-02-2014,2014,2,Eric Barreto,Florida,Office Supplies,Binders,Surelock Post Binders,18,2,-12
02-02-2014,2014,2,Eric Barreto,Florida,Technology,Phones,AT&T 17929 Lendline Telephone,181,5,14
03-02-2014,2014,2,Tom Boeckenhauer,Washington,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,84,2,27
03-02-2014,2014,2,Tom Boeckenhauer,Washington,Office Supplies,Binders,Avery Durable Poly Binders,13,3,4
04-02-2014,2014,2,Deborah Brumfield,California,Office Supplies,Binders,GBC Recycled Grain Textured Covers,83,3,29
04-02-2014,2014,2,Deborah Brumfield,California,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34,4,16
04-02-2014,2014,2,Mark Haberlin,California,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17,2,6
06-02-2014,2014,2,Neil Ducich,Virginia,Office Supplies,Labels,Avery 480,15,4,7
06-02-2014,2014,2,Neil Ducich,Virginia,Technology,Phones,Aastra 57i VoIP phone,162,1,42
06-02-2014,2014,2,Neil Ducich,Virginia,Technology,Phones,AT&T CL82213,145,5,42
06-02-2014,2014,2,Delfina Latchford,Illinois,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",9,2,-15
07-02-2014,2014,2,Cyma Kinney,New Jersey,Technology,Accessories,Maxell DVD-RAM Discs,115,7,50
07-02-2014,2014,2,Chris Selesnick,New York,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,65,4,10
08-02-2014,2014,2,Nathan Mautz,Nevada,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",15,2,6
11-02-2014,2014,2,Natalie Fritzler,Virginia,Technology,Accessories,Enermax Aurora Lite Keyboard,234,3,103
11-02-2014,2014,2,Natalie Fritzler,Virginia,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256,6,75
11-02-2014,2014,2,Natalie Fritzler,Virginia,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17,2,8
11-02-2014,2014,2,Guy Armstrong,Missouri,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",61,1,15
11-02-2014,2014,2,Guy Armstrong,Missouri,Office Supplies,Labels,Avery 483,15,3,7
11-02-2014,2014,2,Guy Armstrong,Missouri,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,10,2,4
11-02-2014,2014,2,Guy Armstrong,Missouri,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",333,3,53
11-02-2014,2014,2,Guy Armstrong,Missouri,Office Supplies,Binders,VariCap6 Expandable Binder,52,3,24
11-02-2014,2014,2,Guy Armstrong,Missouri,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,65,2,3
12-02-2014,2014,2,Sanjit Chand,California,Furniture,Chairs,"Global Geo Office Task Chair, Gray",130,2,-24
14-02-2014,2014,2,Shui Tom,Texas,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8Â” x 11Â”",16,3,6
14-02-2014,2014,2,Marina Lichtenstein,Washington,Technology,Accessories,Logitech G600 MMO Gaming Mouse,240,3,86
14-02-2014,2014,2,Marina Lichtenstein,Washington,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,82,2,23
14-02-2014,2014,2,Marina Lichtenstein,Washington,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,239,2,5
15-02-2014,2014,2,Barry FranzÃ¶sisch,Washington,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21,5,7
16-02-2014,2014,2,Michael Nguyen,Texas,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1,3,-2
16-02-2014,2014,2,Michael Nguyen,Texas,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",8,2,-14
17-02-2014,2014,2,Delfina Latchford,Illinois,Office Supplies,Art,Staples in misc. colors,54,14,9
18-02-2014,2014,2,Troy Blackwell,Texas,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25,5,-11
18-02-2014,2014,2,Aaron Bergman,Texas,Office Supplies,Storage,Akro Stacking Bins,13,2,-3
20-02-2014,2014,2,Linda Cazamias,Indiana,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62,3,22
20-02-2014,2014,2,Linda Cazamias,Indiana,Furniture,Furnishings,"Master Caster Door Stop, Brown",20,4,7
20-02-2014,2014,2,Steven Roelle,California,Office Supplies,Paper,Xerox 204,13,2,6
21-02-2014,2014,2,Tamara Manning,Illinois,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,9,5,-14
22-02-2014,2014,2,Sue Ann Reed,California,Office Supplies,Paper,Xerox 220,19,3,9
23-02-2014,2014,2,Michael Grace,Texas,Office Supplies,Labels,Staple-on labels,7,3,2
23-02-2014,2014,2,Michael Grace,Texas,Office Supplies,Binders,GBC Plastic Binding Combs,4,3,-7
24-02-2014,2014,2,Jennifer Halladay,Oregon,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",33,4,11
24-02-2014,2014,2,Jennifer Halladay,Oregon,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",23,3,8
27-02-2014,2014,2,Joy Smith,Ohio,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19,4,3
01-03-2014,2014,3,Dave Brooks,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,458,2,51
01-03-2014,2014,3,Hallie Redmond,New York,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,6,3,2
01-03-2014,2014,3,Vicky Freymann,Illinois,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634,6,-172
01-03-2014,2014,3,Vicky Freymann,Illinois,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17,3,6
01-03-2014,2014,3,Shahid Collister,Texas,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,19,5,-4
01-03-2014,2014,3,Shahid Collister,Texas,Furniture,Chairs,Harbour Creations Steel Folding Chair,362,6,0
01-03-2014,2014,3,Shahid Collister,Texas,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,64,6,-35
01-03-2014,2014,3,Shahid Collister,Texas,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,130,3,-23
01-03-2014,2014,3,Giulietta Weimer,Texas,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137,3,9
01-03-2014,2014,3,Giulietta Weimer,Texas,Furniture,Tables,Bevis Round Conference Room Tables and Bases,377,3,-43
02-03-2014,2014,3,Kristina Nunn,New York,Office Supplies,Envelopes,Staple envelope,11,2,5
02-03-2014,2014,3,Kristina Nunn,New York,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",36,5,17
02-03-2014,2014,3,Nicole Hansen,Pennsylvania,Office Supplies,Paper,Xerox 1971,3,1,1
02-03-2014,2014,3,Nicole Hansen,Pennsylvania,Technology,Accessories,Hypercom P1300 Pinpad,151,3,32
03-03-2014,2014,3,Ashley Jarboe,North Carolina,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19,4,3
03-03-2014,2014,3,Anne Pryor,New York,Technology,Phones,PowerGen Dual USB Car Charger,10,1,5
03-03-2014,2014,3,Anne Pryor,New York,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,126,3,41
03-03-2014,2014,3,Anne Pryor,New York,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",25,5,9
03-03-2014,2014,3,Jill Stevenson,Ohio,Office Supplies,Labels,Avery 495,15,3,5
03-03-2014,2014,3,Jill Stevenson,Ohio,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302,5,-200
03-03-2014,2014,3,Jill Stevenson,Ohio,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,45,8,-10
03-03-2014,2014,3,Sam Craven,Texas,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,177,3,-460
03-03-2014,2014,3,Eva Jacobs,California,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626,3,-23
04-03-2014,2014,3,Clay Ludtke,South Carolina,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,355,5,18
04-03-2014,2014,3,Sanjit Chand,Florida,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",16,3,2
05-03-2014,2014,3,Aimee Bixby,New York,Office Supplies,Art,Newell 345,60,3,15
05-03-2014,2014,3,Aimee Bixby,New York,Technology,Accessories,Logitech Wireless Gaming Headset G930,480,3,178
05-03-2014,2014,3,Aimee Bixby,New York,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,19,2,5
05-03-2014,2014,3,Aimee Bixby,New York,Office Supplies,Binders,GBC Wire Binding Combs,50,6,17
05-03-2014,2014,3,Aimee Bixby,New York,Office Supplies,Paper,Xerox 1891,98,2,46
07-03-2014,2014,3,Aaron Bergman,Washington,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",49,1,5
07-03-2014,2014,3,Aaron Bergman,Washington,Office Supplies,Art,Newell 330,18,3,5
07-03-2014,2014,3,Aaron Bergman,Washington,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",243,3,5
07-03-2014,2014,3,Nora Pelletier,Washington,Office Supplies,Binders,Catalog Binders with Expanding Posts,108,2,34
07-03-2014,2014,3,Craig Molinari,Washington,Office Supplies,Art,Newell Chalk Holder,21,5,10
07-03-2014,2014,3,Craig Molinari,Washington,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System",205,5,0
07-03-2014,2014,3,Craig Molinari,Washington,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,437,6,22
07-03-2014,2014,3,Craig Molinari,Washington,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",482,2,54
10-03-2014,2014,3,Scott Williamson,Michigan,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",22,2,11
10-03-2014,2014,3,Kean Thornton,Colorado,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,636,3,-16
10-03-2014,2014,3,Kean Thornton,Colorado,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",83,4,9
11-03-2014,2014,3,Chloris Kastensmidt,Ohio,Furniture,Furnishings,Eldon Wave Desk Accessories,8,5,2
11-03-2014,2014,3,Chloris Kastensmidt,Ohio,Office Supplies,Fasteners,Stockwell Push Pins,10,6,2
11-03-2014,2014,3,Kelly Andreada,New York,Office Supplies,Paper,"Southworth 100% RÃ©sumÃ© Paper, 24lb.",109,14,49
11-03-2014,2014,3,Filia McAdams,Kentucky,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",147,3,38
11-03-2014,2014,3,Filia McAdams,Kentucky,Technology,Accessories,Maxell DVD-RAM Discs,33,2,14
11-03-2014,2014,3,Filia McAdams,Kentucky,Technology,Phones,Panasonic KX-TG9471B,588,3,165
11-03-2014,2014,3,Filia McAdams,Kentucky,Office Supplies,Paper,Xerox 198,15,3,7
11-03-2014,2014,3,Richard Bierner,California,Office Supplies,Art,Economy #2 Pencils,8,3,2
14-03-2014,2014,3,Dean Katz,California,Office Supplies,Paper,Xerox 1972,11,2,5
14-03-2014,2014,3,Dean Katz,California,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers,3,1,1
14-03-2014,2014,3,Christine Kargatis,Virginia,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,1140,4,285
14-03-2014,2014,3,Jason Fortune-,Utah,Office Supplies,Binders,GBC Wire Binding Combs,33,4,11
14-03-2014,2014,3,Jason Fortune-,Utah,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,81,1,3
14-03-2014,2014,3,Jason Fortune-,Utah,Technology,Accessories,ImationÂ 30456 USBÂ Flash DriveÂ 8GB,83,12,7
14-03-2014,2014,3,Jason Fortune-,Utah,Office Supplies,Storage,Staple magnet,21,2,6
14-03-2014,2014,3,Jason Fortune-,Utah,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",62,2,20
14-03-2014,2014,3,Rick Bensley,Illinois,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,575,2,156
14-03-2014,2014,3,Rick Bensley,Illinois,Office Supplies,Paper,Xerox 1963,8,2,3
14-03-2014,2014,3,Neil FranzÃ¶sisch,Florida,Office Supplies,Paper,Xerox 1887,91,6,32
15-03-2014,2014,3,Alan Shonely,Florida,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",143,1,18
15-03-2014,2014,3,Alan Shonely,Florida,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",46,3,5
15-03-2014,2014,3,Alan Shonely,Florida,Office Supplies,Binders,Insertable Tab Post Binder Dividers,7,3,-6
15-03-2014,2014,3,Alan Shonely,Florida,Office Supplies,Binders,GBC VeloBinder Manual Binding System,43,4,-32
15-03-2014,2014,3,Alan Shonely,Florida,Office Supplies,Paper,Xerox 1889,132,3,48
16-03-2014,2014,3,Kristina Nunn,North Carolina,Technology,Phones,Polycom VoiceStation 500 ConferenceÂ phone,472,2,30
17-03-2014,2014,3,Bradley Nguyen,Minnesota,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,94,2,37
17-03-2014,2014,3,Bradley Nguyen,Minnesota,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8Â” x 11Â”",47,7,24
17-03-2014,2014,3,Bradley Nguyen,Minnesota,Office Supplies,Art,Newell 35,20,6,6
17-03-2014,2014,3,Bradley Nguyen,Minnesota,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,53,10,25
17-03-2014,2014,3,Bradley Nguyen,Minnesota,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,36,6,17
17-03-2014,2014,3,Christine Phan,New York,Furniture,Tables,Bretford Rectangular Conference Table Tops,1580,7,-448
17-03-2014,2014,3,Christine Phan,New York,Furniture,Tables,Balt Solid Wood Round Tables,1072,4,-554
17-03-2014,2014,3,Christine Phan,New York,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",614,3,-123
17-03-2014,2014,3,Christine Phan,New York,Office Supplies,Paper,Xerox 1926,35,7,16
17-03-2014,2014,3,Christine Phan,New York,Office Supplies,Paper,Xerox 1918,155,4,76
17-03-2014,2014,3,Annie Zypern,Texas,Office Supplies,Art,Newell 333,4,2,0
17-03-2014,2014,3,Annie Zypern,Texas,Office Supplies,Paper,Xerox 1966,5,1,2
17-03-2014,2014,3,Annie Zypern,Texas,Office Supplies,Paper,Xerox 1967,16,3,5
17-03-2014,2014,3,Mark Haberlin,Mississippi,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",11,3,5
17-03-2014,2014,3,Mark Haberlin,Mississippi,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",30,2,15
17-03-2014,2014,3,Mark Haberlin,Mississippi,Office Supplies,Paper,Xerox 1957,13,2,6
17-03-2014,2014,3,Mark Haberlin,Mississippi,Office Supplies,Paper,EcoTones Memo Sheets,16,4,8
17-03-2014,2014,3,Mark Haberlin,Mississippi,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,33,3,8
17-03-2014,2014,3,Quincy Jones,Pennsylvania,Office Supplies,Paper,Xerox 1909,127,6,41
18-03-2014,2014,3,Sean Miller,Florida,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,821,4,-16
18-03-2014,2014,3,Sean Miller,Florida,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638,6,-1811
18-03-2014,2014,3,Sean Miller,Florida,Office Supplies,Paper,Xerox 195,21,4,7
18-03-2014,2014,3,Sean Miller,Florida,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,8,3,1
18-03-2014,2014,3,Sean Miller,Florida,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",31,2,8
18-03-2014,2014,3,Sean Miller,Florida,Office Supplies,Fasteners,Staples,19,3,6
18-03-2014,2014,3,Sean Miller,Florida,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",122,3,15
18-03-2014,2014,3,Eileen Kiefer,California,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1198,10,70
18-03-2014,2014,3,Sample Company A,California,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,111,2,14
18-03-2014,2014,3,Sample Company A,California,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,1280,4,416
18-03-2014,2014,3,Sample Company A,California,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1856,7,334
